datetime,pid,date,segment,avgdurationasleepunifiedmain,avgdurationawakeunifiedmain,countepisodeasleepunifiedmain,countepisodeawakeunifiedmain,maxdurationasleepunifiedmain,maxdurationawakeunifiedmain,sumdurationasleepunifiedmain,sumdurationawakeunifiedmain
2021-03-29 05:59:59,INS-W_1005,2021-03-29,morning,18.2496916666667,1.499975,2.0,2.0,20.99965,1.99996666666667,36.4993833333333,2.99995
2021-03-29 11:59:59,INS-W_1005,2021-03-29,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-29 17:59:59,INS-W_1005,2021-03-29,evening,31.4994722222222,2.99995,3.0,3.0,70.4988166666666,5.9999,94.4984166666666,8.99985
2021-03-29 23:59:59,INS-W_1005,2021-03-29,night,104.664922222223,0.999983333333333,3.0,2.0,303.994933333334,0.999983333333333,313.994766666668,1.99996666666667
2021-03-30 05:59:59,INS-W_1005,2021-03-30,morning,18.2496916666667,1.499975,2.0,2.0,20.99965,1.99996666666667,36.4993833333333,2.99995
2021-03-30 11:59:59,INS-W_1005,2021-03-30,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-30 17:59:59,INS-W_1005,2021-03-30,evening,48.9991833333333,1.66663888888889,3.0,3.0,56.99905,2.99995,146.99755,4.99991666666667
2021-03-30 23:59:59,INS-W_1005,2021-03-30,night,359.993983333333,0.0,1.0,0.0,359.993983333333,0.0,359.993983333333,0.0
2021-03-31 05:59:59,INS-W_1005,2021-03-31,morning,21.86213208333335,1.3749770833333332,2.75,2.5,31.749470833333326,1.7499708333333357,68.24885416666672,3.2499458333333324
2021-03-31 11:59:59,INS-W_1005,2021-03-31,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31 17:59:59,INS-W_1005,2021-03-31,evening,80.99865000000015,0.8333194444444448,2.0,1.5,84.9985833333335,1.4999749999999998,129.9978333333335,2.499958333333335
2021-03-31 23:59:59,INS-W_1005,2021-03-31,night,68.7988533333335,1.24997916666667,5.0,4.0,179.997000000001,1.99996666666667,343.994266666667,4.99991666666667
2021-04-01 05:59:59,INS-W_1005,2021-04-01,morning,25.4745725,1.2499791666666664,3.5,3.0,42.49929166666665,1.4999750000000014,99.99832500000015,3.4999416666666647
2021-04-01 11:59:59,INS-W_1005,2021-04-01,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01 17:59:59,INS-W_1005,2021-04-01,evening,112.998116666667,0.0,1.0,0.0,112.998116666667,0.0,112.998116666667,0.0
2021-04-01 23:59:59,INS-W_1005,2021-04-01,night,87.23187944444476,1.1249812500000014,4.0,3.0,207.99653333333453,1.4999750000000014,330.4944916666675,3.49994166666667
2021-04-02 05:59:59,INS-W_1005,2021-04-02,morning,29.08701291666665,1.1249812499999998,4.25,3.5,53.24911249999997,1.2499791666666673,131.74779583333356,3.7499374999999975
2021-04-02 11:59:59,INS-W_1005,2021-04-02,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-02 17:59:59,INS-W_1005,2021-04-02,evening,73.2487750000001,1.99996666666667,2.0,1.0,140.49765,1.99996666666667,146.49755,1.99996666666667
2021-04-02 23:59:59,INS-W_1005,2021-04-02,night,105.664905555556,0.999983333333333,3.0,2.0,235.996066666668,0.999983333333333,316.994716666668,1.99996666666667
2021-04-03 05:59:59,INS-W_1005,2021-04-03,morning,32.6994533333333,0.999983333333333,5.0,4.0,63.9989333333333,0.999983333333333,163.497266666667,3.99993333333333
2021-04-03 11:59:59,INS-W_1005,2021-04-03,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-03 17:59:59,INS-W_1005,2021-04-03,evening,16.8330527777778,1.59997333333333,6.0,5.0,62.99895,3.99993333333333,100.998316666667,7.99986666666667
2021-04-03 23:59:59,INS-W_1005,2021-04-03,night,59.1656777777778,0.999983333333333,6.0,5.0,156.997383333334,0.999983333333333,354.994066666667,4.99991666666667
2021-04-04 05:59:59,INS-W_1005,2021-04-04,morning,32.99945,0.999983333333333,2.0,1.0,44.99925,0.999983333333333,65.9989,0.999983333333333
2021-04-04 11:59:59,INS-W_1005,2021-04-04,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-04 17:59:59,INS-W_1005,2021-04-04,evening,23.7496,0.999983333333333,2.0,1.0,26.99955,0.999983333333333,47.4992,0.999983333333333
2021-04-04 23:59:59,INS-W_1005,2021-04-04,night,119.331344444445,0.999983333333333,3.0,2.0,211.996466666668,0.999983333333333,357.994033333335,1.99996666666667
2021-04-05 05:59:59,INS-W_1005,2021-04-05,morning,7.74986944444444,2.59995666666667,6.0,5.0,11.9998,5.9999,46.4992166666667,12.9997833333333
2021-04-05 11:59:59,INS-W_1005,2021-04-05,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-05 17:59:59,INS-W_1005,2021-04-05,evening,38.3326944444444,0.999983333333333,3.0,2.0,54.9990833333333,0.999983333333333,114.998083333333,1.99996666666667
2021-04-05 23:59:59,INS-W_1005,2021-04-05,night,179.497,0.999983333333333,2.0,1.0,321.494633333334,0.999983333333333,358.994000000001,0.999983333333333
2021-04-06 05:59:59,INS-W_1005,2021-04-06,morning,27.9995333333333,0.999983333333333,1.0,1.0,27.9995333333333,0.999983333333333,27.9995333333333,0.999983333333333
2021-04-06 11:59:59,INS-W_1005,2021-04-06,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06 17:59:59,INS-W_1005,2021-04-06,evening,30.4161583333333,2.39996,6.0,5.0,90.4984833333333,4.99991666666667,182.49695,11.9998
2021-04-06 23:59:59,INS-W_1005,2021-04-06,night,89.2485125000003,0.999983333333333,4.0,3.0,209.996500000001,0.999983333333333,356.994050000001,2.99995
2021-04-07 05:59:59,INS-W_1005,2021-04-07,morning,6.33322777777778,0.833316666666667,3.0,3.0,13.9997666666667,0.999983333333333,18.9996833333333,2.49995
2021-04-07 11:59:59,INS-W_1005,2021-04-07,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-07 17:59:59,INS-W_1005,2021-04-07,evening,36.2493916666667,7.99986666666667,2.0,1.0,70.4988166666666,7.99986666666667,72.4987833333333,7.99986666666667
2021-04-07 23:59:59,INS-W_1005,2021-04-07,night,39.0549037037037,0.944427777777778,9.0,9.0,154.497416666667,0.999983333333333,351.494133333334,8.49985
2021-04-08 05:59:59,INS-W_1005,2021-04-08,morning,46.83255,1.499975,3.0,2.0,131.4978,1.99996666666667,140.49765,2.99995
2021-04-08 11:59:59,INS-W_1005,2021-04-08,afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
